📡关于软件 👉,#genre#
CCTV-14咪咕,http://j.s.bkpcp.top/jj/cctv14
CCTV-15咪咕,http://j.s.bkpcp.top/jj/cctv15
CCTV-16咪咕,http://j.s.bkpcp.top/jj/cctv16
CCTV-17咪咕,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲咪咕,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲咪咕,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西咪咕,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿咪咕,http://j.s.bkpcp.top/jj/cgtna
CGTN-法咪咕,http://j.s.bkpcp.top/jj/cgtnf

CCTV-01咪咕,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02咪咕,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03咪咕,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04咪咕,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06咪咕,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07咪咕,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08咪咕,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09咪咕,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10咪咕,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11咪咕,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12咪咕,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13咪咕,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14咪咕,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15咪咕,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16咪咕,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17咪咕,http://t.061899.xyz/tl/tl.php?id=cctv17

卫视频道,#genre#
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws


北京卫视咪咕,http://j.s.bkpcp.top/jj/bjws
东方卫视咪咕,http://j.s.bkpcp.top/jj/dfws
浙江卫视咪咕,http://j.s.bkpcp.top/jj/zjws
江苏卫视咪咕,http://j.s.bkpcp.top/jj/jsws
湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws
广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws
山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws
河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws
江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws
湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws
海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws
陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws
兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws
黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws


北京卫视咪咕,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视咪咕,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视咪咕,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视咪咕,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视咪咕,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视咪咕,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视咪咕,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视咪咕,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视咪咕,http://t.061899.xyz/tl/tl.php?id=hljws


赛事咪咕,#genre#
赛事睛彩竞技,https://msj.188766.xyz/play?id=3000000020000011528&token=a70e7100a70e7100a70e7100a70e7100
赛事睛彩竞技,https://msj.188766.xyz/play?id=3000000010000004193&token=121cf5ab121cf5ab121cf5ab121cf5ab
赛事睛彩篮球,https://msj.188766.xyz/play?id=3000000020000011529&token=a70e7101a70e7101a70e7101a70e7101
赛事睛彩篮球,https://msj.188766.xyz/play?id=3000000010000021904&token=1237e4821237e4821237e4821237e482
赛事睛彩青少,https://msj.188766.xyz/play?id=3000000020000011525&token=a70e70fda70e70fda70e70fda70e70fd
赛事睛彩青少,https://msj.188766.xyz/play?id=3000000010000011297&token=1229b3d41229b3d41229b3d41229b3d4
赛事睛彩广场,https://msj.188766.xyz/play?id=3000000020000011523&token=a70e70fba70e70fba70e70fba70e70fb
赛事睛彩广场,https://msj.188766.xyz/play?id=3000000010000006658&token=121df0b7121df0b7121df0b7121df0b7
军事国防央七,https://msj.188766.xyz/play?id=3000000010000011518&token=1229be201229be201229be201229be20
军事国防央七,https://msj.188766.xyz/play?id=3000000020000011522&token=a70e70faa70e70faa70e70faa70e70fa
赛事咪咕播01,https://msj.188766.xyz/play?id=3000000001000005308&token=71822ed871822ed871822ed871822ed8
赛事咪咕播02,https://msj.188766.xyz/play?id=3000000001000005969&token=71824619718246197182461971824619
赛事咪咕播03,https://msj.188766.xyz/play?id=3000000001000007218&token=718313f4718313f4718313f4718313f4
赛事咪咕播04,https://msj.188766.xyz/play?id=3000000001000008001&token=718380ab718380ab718380ab718380ab
赛事咪咕播05,https://msj.188766.xyz/play?id=3000000001000008176&token=7183854a7183854a7183854a7183854a
赛事咪咕播06,https://msj.188766.xyz/play?id=3000000001000008379&token=71838ccf71838ccf71838ccf71838ccf
赛事咪咕播07,https://msj.188766.xyz/play?id=3000000001000010129&token=718df93b718df93b718df93b718df93b
赛事咪咕播08,https://msj.188766.xyz/play?id=3000000001000010948&token=718e1780718e1780718e1780718e1780
赛事咪咕播09,https://msj.188766.xyz/play?id=3000000001000028638&token=719fc697719fc697719fc697719fc697
赛事咪咕播10,https://msj.188766.xyz/play?id=3000000001000031494&token=71aaa8b371aaa8b371aaa8b371aaa8b3
赛事咪咕播11,https://msj.188766.xyz/play?id=3000000010000000097&token=121b2072121b2072121b2072121b2072
赛事咪咕播12,https://msj.188766.xyz/play?id=3000000010000002019&token=121c083a121c083a121c083a121c083a
赛事咪咕播13,https://msj.188766.xyz/play?id=3000000010000002809&token=121c2623121c2623121c2623121c2623
赛事咪咕播14,https://msj.188766.xyz/play?id=3000000010000003915&token=121c9e5e121c9e5e121c9e5e121c9e5e
赛事咪咕播15,https://msj.188766.xyz/play?id=3000000010000005837&token=121d839b121d839b121d839b121d839b
赛事咪咕播16,https://msj.188766.xyz/play?id=3000000010000006077&token=121dda6e121dda6e121dda6e121dda6e
赛事咪咕播17,https://msj.188766.xyz/play?id=3000000010000009788&token=121f51f2121f51f2121f51f2121f51f2
赛事咪咕播18,https://msj.188766.xyz/play?id=3000000010000010833&token=1229553d1229553d1229553d1229553d
赛事咪咕播19,https://msj.188766.xyz/play?id=3000000010000012558&token=122a32fb122a32fb122a32fb122a32fb
赛事咪咕播20,https://msj.188766.xyz/play?id=3000000010000012616&token=122a363e122a363e122a363e122a363e
赛事咪咕播21,https://msj.188766.xyz/play?id=3000000010000015470&token=122b8c8d122b8c8d122b8c8d122b8c8d
赛事咪咕播22,https://msj.188766.xyz/play?id=3000000010000015560&token=122b902f122b902f122b902f122b902f
赛事咪咕播23,https://msj.188766.xyz/play?id=3000000010000017678&token=122c7cd5122c7cd5122c7cd5122c7cd5
赛事咪咕播24,https://msj.188766.xyz/play?id=3000000010000019839&token=122d6c9a122d6c9a122d6c9a122d6c9a
赛事咪咕播25,https://msj.188766.xyz/play?id=3000000010000023434&token=1238bad81238bad81238bad81238bad8
赛事咪咕播26,https://msj.188766.xyz/play?id=3000000010000025380&token=1239a06c1239a06c1239a06c1239a06c
赛事咪咕播27,https://msj.188766.xyz/play?id=3000000010000027691&token=123a948d123a948d123a948d123a948d
赛事咪咕播28,https://msj.188766.xyz/play?id=3000000010000031669&token=1245f17f1245f17f1245f17f1245f17f
赛事咪咕播29,https://msj.188766.xyz/play?id=3000000020000011518&token=a70e70e1a70e70e1a70e70e1a70e70e1
赛事咪咕播30,https://msj.188766.xyz/play?id=3000000020000011519&token=a70e70e2a70e70e2a70e70e2a70e70e2
赛事咪咕播31,https://msj.188766.xyz/play?id=3000000020000011520&token=a70e70f8a70e70f8a70e70f8a70e70f8
赛事咪咕播32,https://msj.188766.xyz/play?id=3000000020000011521&token=a70e70f9a70e70f9a70e70f9a70e70f9
赛事咪咕播4k,https://msj.188766.xyz/play?id=3000000010000005180&token=121d69e8121d69e8121d69e8121d69e8
赛事至臻视界,https://msj.188766.xyz/play?id=3000000010000015686&token=122b9434122b9434122b9434122b9434
赛事睛彩竞技,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011528
赛事睛彩竞技,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011530
赛事睛彩竞技,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000004193
赛事睛彩篮球,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011529
赛事睛彩篮球,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011531
赛事睛彩篮球,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000021904
赛事睛彩青少,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011525
赛事睛彩青少,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000031315
赛事睛彩青少,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000011297
赛事睛彩广场,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011523
赛事睛彩广场,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011524
赛事睛彩广场,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000006658
军事国防央七,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000011518
军事国防央七,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011522
赛事咪咕播01,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000005308
赛事咪咕播02,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000005969
赛事咪咕播03,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000007218
赛事咪咕播04,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008001
赛事咪咕播05,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008176
赛事咪咕播06,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008379
赛事咪咕播07,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000010129
赛事咪咕播08,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000010948
赛事咪咕播09,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000028638
赛事咪咕播10,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000031494
赛事咪咕播11,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000000097
赛事咪咕播12,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000002019
赛事咪咕播13,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000002809
赛事咪咕播14,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000003915
赛事咪咕播15,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000005837
赛事咪咕播16,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000006077
赛事咪咕播17,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000009788
赛事咪咕播18,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000010833
赛事咪咕播19,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000012558
赛事咪咕播20,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000012616
赛事咪咕播21,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015470
赛事咪咕播22,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015560
赛事咪咕播23,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000017678
赛事咪咕播24,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000019839
赛事咪咕播25,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000023434
赛事咪咕播26,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000025380
赛事咪咕播27,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000027691
赛事咪咕播28,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000031669
赛事咪咕播29,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011518
赛事咪咕播30,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011519
赛事咪咕播31,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011520
赛事咪咕播32,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011521
赛事咪咕播4k,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000005180
赛事至臻视界,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015686

 🌸「联通央卫」,#genre#
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV2,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV4,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV6,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV7,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV9,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV10,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV11标清,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV12,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV13,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV15标清,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV5+,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8
浙江卫视,https://60.191.56.186:8888/hls/17/index.m3u8
山东卫视,https://60.191.56.186:8888/hls/46/index.m3u8
钱江,https://60.191.56.186:8888/hls/18/index.m3u8
浙江经济生活,https://60.191.56.186:8888/hls/19/index.m3u8
之江记录,https://60.191.56.186:8888/hls/20/index.m3u8
浙江新闻,https://60.191.56.186:8888/hls/21/index.m3u8
浙江6频道,https://60.191.56.186:8888/hls/22/index.m3u8
浙江少儿,https://60.191.56.186:8888/hls/23/index.m3u8
综合HTV1,https://60.191.56.186:8888/hls/25/index.m3u8
明珠HTV2,https://60.191.56.186:8888/hls/26/index.m3u8
生活HTV3,https://60.191.56.186:8888/hls/27/index.m3u8
影视HTV4,https://60.191.56.186:8888/hls/28/index.m3u8
青少体育HTV5,https://60.191.56.186:8888/hls/29/index.m3u8
东方卫视,https://60.191.56.186:8888/hls/30/index.m3u8
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8
安徽卫视,https://60.191.56.186:8888/hls/32/index.m3u8
江苏卫视,https://60.191.56.186:8888/hls/33/index.m3u8
北京卫视,https://60.191.56.186:8888/hls/34/index.m3u8
重庆卫视,https://60.191.56.186:8888/hls/35/index.m3u8
贵州卫视,https://60.191.56.186:8888/hls/36/index.m3u8
四川卫视,https://60.191.56.186:8888/hls/37/index.m3u8
广东卫视,https://60.191.56.186:8888/hls/38/index.m3u8
天津卫视,https://60.191.56.186:8888/hls/41/index.m3u8
河南卫视,https://60.191.56.186:8888/hls/57/index.m3u8
河北卫视,https://60.191.56.186:8888/hls/43/index.m3u8
黑龙江卫视,https://60.191.56.186:8888/hls/44/index.m3u8
东南卫视,https://60.191.56.186:8888/hls/47/index.m3u8
湖北卫视,https://60.191.56.186:8888/hls/48/index.m3u8
辽宁卫视,https://60.191.56.186:8888/hls/49/index.m3u8
江西卫视,https://60.191.56.186:8888/hls/50/index.m3u8
CCTV1标清,https://60.191.56.186:8888/hls/40/index.m3u8
青海卫视标清,https://60.191.56.186:8888/hls/51/index.m3u8
陕西卫视标清,https://60.191.56.186:8888/hls/53/index.m3u8
海南卫视标清,https://60.191.56.186:8888/hls/45/index.m3u8
山西卫视标清,https://60.191.56.186:8888/hls/55/index.m3u8
云南卫视标清,https://60.191.56.186:8888/hls/42/index.m3u8
吉林卫视标清,https://60.191.56.186:8888/hls/39/index.m3u8
宁夏卫视标清,https://60.191.56.186:8888/hls/56/index.m3u8
广西卫视标清,https://60.191.56.186:8888/hls/58/index.m3u8
金鹰卡通标清,https://60.191.56.186:8888/hls/59/index.m3u8


CCTV1,https://116.131.188.198:5550/hls/1/index.m3u8
CCTV2,https://116.131.188.198:5550/hls/2/index.m3u8
CCTV3,https://116.131.188.198:5550/hls/3/index.m3u8
CCTV4,https://116.131.188.198:5550/hls/4/index.m3u8
CCTV5,https://116.131.188.198:5550/hls/5/index.m3u8
CCTV6,https://116.131.188.198:5550/hls/6/index.m3u8
CCTV7,https://116.131.188.198:5550/hls/7/index.m3u8
CCTV8,https://116.131.188.198:5550/hls/8/index.m3u8
CCTV9,https://116.131.188.198:5550/hls/9/index.m3u8
CCTV10,https://116.131.188.198:5550/hls/10/index.m3u8
CCTV11标清,https://116.131.188.198:5550/hls/11/index.m3u8
CCTV12,https://116.131.188.198:5550/hls/12/index.m3u8
CCTV13,https://116.131.188.198:5550/hls/13/index.m3u8
CCTV14,https://116.131.188.198:5550/hls/14/index.m3u8
CCTV15标清,https://116.131.188.198:5550/hls/15/index.m3u8
CGTN,https://116.131.188.198:5550/hls/16/index.m3u8
CCTV5+,https://116.131.188.198:5550/hls/17/index.m3u8
河北卫视,https://116.131.188.198:5550/hls/18/index.m3u8
邢台新闻综合,https://116.131.188.198:5550/hls/19/index.m3u8
湖南卫视,https://116.131.188.198:5550/hls/20/index.m3u8
浙江卫视,https://116.131.188.198:5550/hls/21/index.m3u8
江苏卫视,https://116.131.188.198:5550/hls/22/index.m3u8
北京卫视,https://116.131.188.198:5550/hls/23/index.m3u8
东方卫视,https://116.131.188.198:5550/hls/24/index.m3u8
天津卫视,https://116.131.188.198:5550/hls/25/index.m3u8
深圳卫视,https://116.131.188.198:5550/hls/26/index.m3u8
山东卫视,https://116.131.188.198:5550/hls/27/index.m3u8
广东卫视,https://116.131.188.198:5550/hls/28/index.m3u8
黑龙江卫视,https://116.131.188.198:5550/hls/29/index.m3u8
辽宁卫视,https://116.131.188.198:5550/hls/30/index.m3u8
安徽卫视,https://116.131.188.198:5550/hls/31/index.m3u8
湖北卫视,https://116.131.188.198:5550/hls/32/index.m3u8
四川卫视,https://116.131.188.198:5550/hls/33/index.m3u8
重庆卫视,https://116.131.188.198:5550/hls/34/index.m3u8
河南卫视,https://116.131.188.198:5550/hls/35/index.m3u8
金鹰纪实,https://116.131.188.198:5550/hls/36/index.m3u8
贵州卫视,https://116.131.188.198:5550/hls/39/index.m3u8
江西卫视,https://116.131.188.198:5550/hls/40/index.m3u8
东南卫视,https://116.131.188.198:5550/hls/41/index.m3u8
吉林卫视,https://116.131.188.198:5550/hls/42/index.m3u8
河北都市,https://116.131.188.198:5550/hls/43/index.m3u8
CETV1,https://116.131.188.198:5550/hls/38/index.m3u8
北京卫视,http://114.254.38.237:8888/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.38.237:8888/rtp/239.3.1.159:8000
北京影视频道,http://114.254.38.237:8888/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.38.237:8888/rtp/239.3.1.242:8000
北京财经频道,http://114.254.38.237:8888/rtp/239.3.1.116:8000
北京生活频道,http://114.254.38.237:8888/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.38.237:8888/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.38.237:8888/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.38.237:8888/rtp/239.3.1.243:8000
北京国际频道,http://114.254.38.237:8888/rtp/239.3.1.235:8000

CCTV4K超高清,http://114.254.38.237:8888/udp/239.3.1.245:2000
北京卫视4K,http://114.254.38.237:8888/udp/239.3.1.22:8001
湖南卫视,http://114.254.38.237:8888/rtp/239.3.1.132:8012
东方卫视,http://114.254.38.237:8888/rtp/239.3.1.136:8032
浙江卫视,http://114.254.38.237:8888/rtp/239.3.1.137:8036
江苏卫视,http://114.254.38.237:8888/rtp/239.3.1.135:8028
深圳卫视,http://114.254.38.237:8888/rtp/239.3.1.134:8020
广东卫视,http://114.254.38.237:8888/rtp/239.3.1.142:8048
安徽卫视,http://114.254.38.237:8888/rtp/239.3.1.211:8064
天津卫视,http://114.254.38.237:8888/rtp/239.3.1.141:1234
重庆卫视,http://114.254.38.237:8888/rtp/239.3.1.122:8160
山东卫视,http://114.254.38.237:8888/rtp/239.3.1.209:8052
黑龙江卫视,http://114.254.38.237:8888/rtp/239.3.1.133:8016
河北卫视,http://114.254.38.237:8888/rtp/239.3.1.148:8072
